1,318,0,527,0,0,65,58,41
1022,817,1023,509,1023,1023,52,77,79
5,217,1,318,0,0,99,73,49
218,1023,603,1020,1023,1023,42,74,64
453,984,603,1020,218,1023,57,79,76
478,981,603,1020,453,984,61,76,82
603,1020,478,981,509,975,40,70,94
603,1020,827,1019,1023,1023,48,85,77
1022,817,1014,763,1023,509,47,66,69
1014,763,1005,654,1023,509,35,52,48
81,1023,103,1020,218,1023,33,62,55
4,684,2,729,0,527,17,27,14
2,729,0,922,0,527,10,24,15
0,922,2,729,2,849,8,22,17
1023,53,1009,32,1023,0,222,194,179
1018,112,1022,494,1010,260,116,99,65
1022,494,1023,53,1023,509,90,90,71
1022,494,1018,112,1023,53,160,134,99
800,1,707,0,1023,0,190,112,10
476,15,470,1,522,0,211,164,118
1009,539,995,534,1023,509,23,56,45
457,578,461,630,406,596,160,154,127
793,1018,827,1019,603,1020,16,64,43
827,1019,947,997,1023,1023,88,102,116
924,966,947,997,905,968,111,123,140
793,1018,722,1017,789,1016,16,73,52
722,1017,793,1018,603,1020,15,64,41
1014,763,992,709,1005,654,84,95,96
1,318,5,357,0,527,24,42,34
5,357,8,407,0,527,22,42,34
53,332,17,325,51,286,52,43,38
81,319,53,332,51,286,48,40,38
96,379,116,384,125,423,59,54,53
152,384,116,384,126,344,50,44,41
116,384,96,379,126,344,43,39,40
52,411,96,379,125,423,91,89,91
69,457,52,411,125,423,78,90,90
52,411,82,363,96,379,92,88,85
20,1003,81,1023,0,1023,24,31,23
26,910,0,922,2,849,11,20,14
2,729,9,817,2,849,10,25,17
116,384,141,422,125,423,63,64,65
141,422,116,384,152,384,57,53,52
225,447,184,431,189,410,60,56,52
383,975,453,984,218,1023,35,63,53
355,973,383,975,218,1023,39,71,63
355,973,266,973,315,935,113,111,108
266,973,270,951,315,935,98,86,67
266,973,355,973,218,1023,74,91,91
49,728,2,729,4,684,24,33,14
1009,32,1000,28,1023,0,205,156,125
902,10,984,3,978,38,190,113,14
1000,28,984,3,1023,0,195,134,85
984,3,1000,28,978,38,193,126,60
984,3,800,1,1023,0,190,116,23
984,3,902,10,800,1,189,109,1
1018,112,1010,84,1023,53,230,211,203
1010,84,1000,78,1023,53,228,207,199
980,54,1009,32,1023,53,233,217,209
1000,78,980,54,1023,53,230,210,202
1000,28,980,54,978,38,220,184,159
980,54,1000,28,1009,32,227,203,190
1011,163,1018,112,1010,260,220,162,97
964,139,1011,163,948,179,213,148,78
939,337,941,399,890,384,180,167,165
881,366,939,337,890,384,205,205,210
1007,321,1001,399,997,386,39,61,53
1022,494,1007,321,1010,260,50,62,53
