817,1023,351,1023,493,1017,12,31,19
12,0,0,123,0,0,186,126,57
667,1014,817,1023,493,1017,0,0,0
289,735,313,612,392,738,187,137,32
324,828,289,735,392,738,130,80,0
118,81,0,123,12,0,246,186,117
289,735,202,794,224,725,183,133,29
202,794,289,735,324,828,249,198,94
1,541,0,631,0,506,251,255,255
9,535,1,541,0,506,255,255,255
351,1023,415,1005,493,1017,227,237,220
511,706,423,801,392,738,0,0,0
313,612,395,600,392,738,66,63,58
395,600,511,706,392,738,211,161,57
395,600,400,486,509,532,106,103,97
299,0,308,123,222,0,211,161,56
299,0,384,119,308,123,223,173,68
384,119,299,0,406,0,255,255,255
310,281,304,216,336,267,0,0,0
222,0,95,3,12,0,191,141,37
95,3,118,81,12,0,255,199,130
118,81,95,3,222,0,255,201,132
308,123,201,118,222,0,255,218,149
201,118,118,81,222,0,255,216,147
0,320,5,387,0,506,7,26,14
294,1023,112,1023,223,1022,0,0,0
112,1023,175,1002,223,1022,255,255,255
202,794,283,908,201,912,9,0,0
283,908,202,794,324,828,62,12,0
1011,1023,1023,1013,1023,1023,0,0,0
1023,1013,1011,1023,964,982,0,0,0
1023,942,1023,1013,964,982,237,235,229
900,1011,1011,1023,817,1023,255,255,255
599,607,518,634,509,532,150,147,142
518,634,599,607,511,706,255,255,255
518,634,395,600,509,532,10,7,1
395,600,518,634,511,706,255,244,139
992,292,1023,223,1001,288,0,0,0
709,620,760,539,783,628,93,102,85
733,695,709,620,783,628,0,0,0
721,426,684,533,647,438,0,0,0
684,533,709,620,599,607,144,141,135
472,398,464,471,459,397,0,0,0
400,486,464,471,509,532,0,0,0
633,0,590,80,496,0,205,198,193
703,108,706,0,793,18,255,255,255
703,108,633,0,706,0,0,0,0
633,0,703,108,590,80,0,0,0
703,108,735,188,590,208,255,255,255
590,80,703,108,590,208,142,92,0
921,21,914,97,793,18,255,255,173
921,21,1023,101,914,97,255,255,255
914,97,793,124,793,18,255,255,201
793,124,703,108,793,18,0,0,0
703,108,793,124,735,188,255,255,255
992,292,903,211,1023,223,245,185,116
903,211,992,292,901,304,0,0,0
903,211,1023,101,1023,223,143,83,14
1023,101,903,211,914,97,255,232,163
4,675,16,695,3,690,255,255,255
41,862,0,906,0,820,108,127,115
195,722,124,797,111,716,255,255,249
124,797,195,722,202,794,0,0,0
56,776,0,820,11,744,0,0,0
94,714,56,776,11,744,201,220,208
137,869,202,794,201,912,38,0,0
48,685,94,714,11,744,163,182,170
16,695,48,685,11,744,0,0,0
48,685,16,695,47,684,255,255,255
16,695,33,667,47,684,255,255,255
4,675,33,667,16,695,255,255,255
415,1005,454,988,493,1017,0,0,0
525,82,406,0,496,0,0,0,0
525,82,384,119,406,0,0,0,0
590,80,525,82,496,0,255,255,218
525,82,590,80,590,208,43,0,0
304,216,363,243,336,267,255,255,255
0,123,106,204,0,223,78,88,71
106,204,121,232,0,223,251,255,244
304,216,266,211,308,123,255,239,170
266,211,201,118,308,123,255,253,184
121,232,0,299,0,223,30,49,37
5,387,31,477,0,506,0,0,0
42,469,31,477,5,387,255,255,255
209,272,244,229,283,297,0,0,0
321,1023,294,1023,283,993,255,255,255
260,1020,294,1023,223,1022,98,118,105
294,1023,260,1020,283,993,0,0,0
77,1005,69,999,96,919,255,255,255
138,905,137,869,201,912,75,25,0
144,991,175,1002,112,1023,0,0,0
144,991,77,1005,96,919,208,227,215
77,1005,144,991,112,1023,255,255,255
138,905,144,991,96,919,255,255,255
144,991,138,905,201,912,255,218,113
708,941,724,915,724,931,0,0,0
667,1014,720,1015,817,1023,0,0,0
720,1015,726,1015,817,1023,0,0,0
726,1015,728,1014,817,1023,0,0,0
475,826,423,801,511,706,0,0,0
588,905,530,896,521,849,101,120,108
512,881,464,911,473,879,255,255,255
512,881,530,896,476,931,0,0,0
464,911,512,881,476,931,255,255,255
1023,942,1016,912,1023,871,0,0,0
1011,1023,924,997,964,982,50,47,42
